Category,Subcategory,Level 3 Category,Category ID
Babies & Kids,Babies' Fashion,Accessories,9159
Babies & Kids,Babies' Fashion,Bag,13890
Babies & Kids,Babies' Fashion,Bib,8918
Babies & Kids,Babies' Fashion,Bottom,8921
Babies & Kids,Babies' Fashion,Dress,8924
Babies & Kids,Babies' Fashion,Jumper,8923
Babies & Kids,Babies' Fashion,Knee Pad,13894
Babies & Kids,Babies' Fashion,Onesie,8922
Babies & Kids,Babies' Fashion,Others,6955
Babies & Kids,Babies' Fashion,Pajama,13892
Babies & Kids,Babies' Fashion,Set,13893
Babies & Kids,Babies' Fashion,Shoes,8926
Babies & Kids,Babies' Fashion,Socks,8919
Babies & Kids,Babies' Fashion,Swaddle,13895
Babies & Kids,Babies' Fashion,Swimwear,13889
Babies & Kids,Babies' Fashion,Top,8920
Babies & Kids,Baby Detergent,Detergent,18089
Babies & Kids,Baby Detergent,Others,18088
Babies & Kids,Baby Detergent,Softener,18090
Babies & Kids,Baby Gear,Activity Gym,13972
Babies & Kids,Baby Gear,Car Seat,13970
Babies & Kids,Baby Gear,Carrier,13971
Babies & Kids,Baby Gear,Others,6949
Babies & Kids,Baby Gear,Playmat,13973
Babies & Kids,Baby Gear,Rocker,13969
Babies & Kids,Baby Gear,Stroller,13967
Babies & Kids,Baby Gear,Walker,13968
Babies & Kids,Bath & Skin Care, Sunscreen,13951
Babies & Kids,Bath & Skin Care,Bar Soap,13995
Babies & Kids,Bath & Skin Care,Bath Safety,13957
Babies & Kids,Bath & Skin Care,Bath Tub,13956
Babies & Kids,Bath & Skin Care,Body Wash,13948
Babies & Kids,Bath & Skin Care,Grooming Kit,13955
Babies & Kids,Bath & Skin Care,Others,6951
Babies & Kids,Bath & Skin Care,Shampoo,13950
Babies & Kids,Bath & Skin Care,Shower Cap,13949
Babies & Kids,Bath & Skin Care,Skincare,13952
Babies & Kids,Bath & Skin Care,Toothbrush,13947
Babies & Kids,Bath & Skin Care,Towel & Robe,13953
Babies & Kids,Bath & Skin Care,Washcloth,13954
Babies & Kids,Boys' Fashion,Accessories,13926
Babies & Kids,Boys' Fashion,Bag,13993
Babies & Kids,Boys' Fashion,Bottom,8956
Babies & Kids,Boys' Fashion,Jacket,13919
Babies & Kids,Boys' Fashion,Jumpsuit & Romper,13920
Babies & Kids,Boys' Fashion,Others,6953
Babies & Kids,Boys' Fashion,Pajama,13922
Babies & Kids,Boys' Fashion,Set,13927
Babies & Kids,Boys' Fashion,Shoes,8959
Babies & Kids,Boys' Fashion,Socks,13923
Babies & Kids,Boys' Fashion,Swimwear,13924
